"","datetime_local","datetime_utc","temperature","pressure","depth"
"1",2017-07-25 12:00:00,2017-07-25 11:00:00,22.513,1.161,1.65081660932722
"2",2017-07-25 12:05:00,2017-07-25 11:05:00,22.414,1.164,1.6806809059633
"3",2017-07-25 12:10:00,2017-07-25 11:10:00,22.315,1.168,1.72049996814475
"4",2017-07-25 12:15:00,2017-07-25 11:15:00,22.215,1.173,1.77027379587156
"5",2017-07-25 12:20:00,2017-07-25 11:20:00,22.215,1.177,1.81009285805301
"6",2017-07-25 12:25:00,2017-07-25 11:25:00,22.215,1.181,1.84991192023446
"7",2017-07-25 12:30:00,2017-07-25 11:30:00,22.215,1.187,1.90964051350663
"8",2017-07-25 12:35:00,2017-07-25 11:35:00,22.215,1.188,1.91959527905199
"9",2017-07-25 12:40:00,2017-07-25 11:40:00,22.215,1.196,1.99923340341488
"10",2017-07-25 12:45:00,2017-07-25 11:45:00,22.215,1.202,2.05896199668705
"11",2017-07-25 12:50:00,2017-07-25 11:50:00,22.215,1.206,2.0987810588685
"12",2017-07-25 12:55:00,2017-07-25 11:55:00,22.265,1.21,2.13860012104995
"13",2017-07-25 13:00:00,2017-07-25 12:00:00,22.315,1.215,2.18837394877676
"14",2017-07-25 13:05:00,2017-07-25 12:05:00,22.364,1.22,2.23814777650357
"15",2017-07-25 13:10:00,2017-07-25 12:10:00,22.265,1.226,2.29787636977574
"16",2017-07-25 13:15:00,2017-07-25 12:15:00,22.265,1.231,2.34765019750255
"17",2017-07-25 13:20:00,2017-07-25 12:20:00,22.315,1.237,2.40737879077472
"18",2017-07-25 13:25:00,2017-07-25 12:25:00,22.315,1.241,2.44719785295617
"19",2017-07-25 13:30:00,2017-07-25 12:30:00,22.315,1.246,2.49697168068298
"20",2017-07-25 13:35:00,2017-07-25 12:35:00,22.315,1.252,2.55670027395515
"21",2017-07-25 13:40:00,2017-07-25 12:40:00,22.414,1.258,2.61642886722732
"22",2017-07-25 13:45:00,2017-07-25 12:45:00,22.562,1.262,2.65624792940877
"23",2017-07-25 13:50:00,2017-07-25 12:50:00,22.661,1.269,2.7259312882263
"24",2017-07-25 13:55:00,2017-07-25 12:55:00,22.661,1.275,2.78565988149847
"25",2017-07-25 14:00:00,2017-07-25 13:00:00,22.71,1.28,2.83543370922528
"26",2017-07-25 14:05:00,2017-07-25 13:05:00,22.76,1.285,2.88520753695209
"27",2017-07-25 14:10:00,2017-07-25 13:10:00,22.76,1.291,2.94493613022426
"28",2017-07-25 14:15:00,2017-07-25 13:15:00,22.612,1.296,2.99470995795107
"29",2017-07-25 14:20:00,2017-07-25 13:20:00,22.513,1.301,3.04448378567788
"30",2017-07-25 14:25:00,2017-07-25 13:25:00,22.414,1.308,3.11416714449541
"31",2017-07-25 14:30:00,2017-07-25 13:30:00,22.315,1.312,3.15398620667686
"32",2017-07-25 14:35:00,2017-07-25 13:35:00,22.265,1.317,3.20376003440367
"33",2017-07-25 14:40:00,2017-07-25 13:40:00,22.315,1.323,3.26348862767584
"34",2017-07-25 14:45:00,2017-07-25 13:45:00,22.315,1.328,3.31326245540265
"35",2017-07-25 14:50:00,2017-07-25 13:50:00,22.364,1.334,3.37299104867482
"36",2017-07-25 14:55:00,2017-07-25 13:55:00,22.414,1.339,3.42276487640163
"37",2017-07-25 15:00:00,2017-07-25 14:00:00,22.364,1.345,3.4824934696738
"38",2017-07-25 15:05:00,2017-07-25 14:05:00,22.315,1.35,3.53226729740061
