Report Date:;26-07-2017 14:08;;;
25-07-2017 17:15;18900;1.43;21.67;14.24
25-07-2017 17:20;19200;1.428;21.67;14.22
25-07-2017 17:25;19500;1.427;21.719;14.212
25-07-2017 17:30;19800;1.427;21.67;14.206
25-07-2017 17:35;20100;1.424;21.769;14.176
25-07-2017 17:40;20400;1.421;21.868;14.153
25-07-2017 17:45;20700;1.418;21.819;14.125
25-07-2017 17:50;21000;1.415;21.968;14.09
25-07-2017 17:55;21300;1.413;22.116;14.067
25-07-2017 18:00;21600;1.41;23.254;14.046
25-07-2017 18:05;21900;1.406;23.451;14
25-07-2017 18:10;22200;1.403;22.513;13.971
25-07-2017 18:15;22500;1.398;22.215;13.925
25-07-2017 18:20;22800;1.396;22.612;13.903
25-07-2017 18:25;23100;1.392;22.414;13.862
25-07-2017 18:30;23400;1.388;22.315;13.825
25-07-2017 18:35;23700;1.385;23.106;13.797
25-07-2017 18:40;24000;1.381;22.958;13.748
25-07-2017 18:45;24300;1.377;22.809;13.708
25-07-2017 18:50;24600;1.373;22.71;13.676
25-07-2017 18:55;24900;1.369;22.958;13.63
25-07-2017 19:00;25200;1.364;22.859;13.581
25-07-2017 19:05;25500;1.36;22.513;13.539
25-07-2017 19:10;25800;1.355;23.056;13.492
25-07-2017 19:15;26100;1.35;23.402;13.444
25-07-2017 19:20;26400;1.345;22.661;13.397
25-07-2017 19:25;26700;1.34;22.463;13.34
25-07-2017 19:30;27000;1.335;22.71;13.299
25-07-2017 19:35;27300;1.014;22.958;10.099
25-07-2017 19:40;27600;1.014;23.254;10.102
25-07-2017 19:45;27900;1.014;23.204;10.095
25-07-2017 19:50;28200;1.015;23.056;10.106
25-07-2017 19:55;28500;1.014;22.71;10.098
25-07-2017 20:00;28800;1.014;22.463;10.095
25-07-2017 20:05;29100;1.014;22.463;10.099
25-07-2017 20:10;29400;1.014;22.513;10.098
25-07-2017 20:15;29700;1.014;22.612;10.095
25-07-2017 20:20;30000;1.015;22.809;10.11
25-07-2017 20:25;30300;1.014;22.958;10.101
25-07-2017 20:30;30600;1.014;22.859;10.101
25-07-2017 20:35;30900;1.015;22.958;10.103
25-07-2017 20:40;31200;1.014;23.106;10.099
25-07-2017 20:45;31500;1.014;23.254;10.101
25-07-2017 20:50;31800;1.014;23.402;10.096
25-07-2017 20:55;32100;1.014;23.5;10.094
25-07-2017 21:00;32400;1.012;23.549;10.076
25-07-2017 21:05;32700;1.012;23.648;10.082
25-07-2017 21:10;33000;1.013;23.697;10.085
25-07-2017 21:15;33300;1.012;23.796;10.078
